rule,conf_pca
"<dbo:secretaryGeneral>(a, b) <= <dbo:colour>(a, f) & <dbo:colour>(b, f)",0.003496503
"<dbo:secretaryGeneral>(a, b) <= <dbo:country>(a, e) & <dbo:leaderName>(e, b)",0.003525264
"<dbo:associate>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:region>(a, f)",0.003562216
"<dbo:mouthMountain>(a, b) <= <dbo:district>(a, f) & <dbo:isPartOf>(b, f)",0.003583555
"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.003614647
"<dbo:governmentRegion>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.003614647
"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:timeZone>(a, f)",0.003617826
"<dbo:languageRegulator>(a, b) <= <dbo:spokenIn>(a, b)",0.00362757
"<dbo:governmentRegion>(a, b) <= <dbo:region>(a, f) & <dbo:state>(b, f)",0.003630555
"<dbo:mouthMountain>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:mouthRegion>(a, f)",0.003669612
"<dbo:servingRailwayLine>(a, b) <= <dbo:owner>(a, f) & <dbo:owner>(b, f)",0.003699656
"<dbo:affiliation>(a, b) <= <dbo:city>(b, f) & <dbo:location>(a, f)",0.003721973
"<dbo:launchSite>(a, b) <= <dbo:launchSite>(a, f) & <dbo:launchSite>(b, f)",0.003727201
"<dbo:highestPlace>(a, b) <= <dbo:locatedInArea>(b, f) & <dbo:region>(a, f)",0.003727618
"<dbo:river>(a, b) <= <dbo:district>(a, f) & <dbo:district>(b, f)",0.003766852
"<dbo:affiliation>(a, b) <= <dbo:city>(a, f) & <dbo:city>(b, f)",0.003772133
"<dbo:child>(a, b) <= <dbo:starring>(e, a) & <dbo:starring>(e, b)",0.003780786
"<dbo:isPartOfWineRegion>(a, b) <= <dbo:growingGrape>(b, f) & <dbo:varietals>(a, f)",0.003793502
"<dbo:destination>(a, b) <= <dbo:capital>(e, b) & <dbo:headquarter>(a, e)",0.003818008
"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.003822821
"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.003822821
"<dbo:hasVariant>(a, b) <= <dbo:ingredient>(a, b)",0.003831418
"<dbo:choreographer>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.003838205
"<dbo:governor>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.003839317
"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, f) & <dbo:state>(a, f)",0.00386011
"<dbo:governmentRegion>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.003866073
"<dbo:notableIdea>(a, b) <= <dbo:influenced>(e, a) & <dbo:notableIdea>(e, b)",0.003878833
"<dbo:currentPartner>(a, b) <= <dbo:coach>(b, f) & <dbo:formerChoreographer>(a, f)",0.003892944
"<dbo:notableIdea>(a, b) <= <dbo:influencedBy>(a, f) & <dbo:influencedBy>(b, f)",0.003894839
"<dbo:currentPartner>(a, b) <= <dbo:coach>(a, f) & <dbo:formerCoach>(b, f)",0.003928416
"<dbo:derivative>(a, b) <= <dbo:derivative>(b, f) & <dbo:stylisticOrigin>(a, f)",0.003950339
"<http://www.w3.org/2004/02/skos/core#subject>(a, b) <= <dbo:occupation>(a, b)",0.00396275
"<dbo:commandStructure>(a, b) <= <dbo:commandStructure>(b, f) & <dbo:militaryBranch>(a, f)",0.003988772
"<dbo:highestRegion>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.004022277
"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.004022277
"<dbo:languageRegulator>(a, b) <= <dbo:language>(e, a) & <dbo:publisher>(e, b)",0.004071661
"<dbo:municipality>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:region>(a, f)",0.004150832
"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:daylightSavingTimeZone>(b, f)",0.0041557
"<dbo:destination>(a, b) <= <dbo:headquarter>(a, b)",0.004159957
"<dbo:subsidiary>(a, b) <= <dbo:locationCity>(a, f) & <dbo:locationCity>(b, f)",0.004168959
"<dbo:currentPartner>(a, b) <= <dbo:choreographer>(a, f) & <dbo:formerCoach>(b, f)",0.004187994
"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:timeZone>(a, f)",0.004192872
"<dbo:highestRegion>(a, b) <= <dbo:city>(f, a) & <dbo:timeZone>(b, f)",0.004192872
"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:daylightSavingTimeZone>(b, f)",0.004219409
"<dbo:highestRegion>(a, b) <= <dbo:city>(f, a) & <dbo:daylightSavingTimeZone>(b, f)",0.004219409
"<dbo:governmentRegion>(a, b) <= <dbo:state>(a, f) & <dbo:timeZone>(b, f)",0.004225629
"<dbo:notableIdea>(a, b) <= <dbo:influencedBy>(e, a) & <dbo:influencedBy>(e, b)",0.004232397
"<dbo:highestRegion>(a, b) <= <dbo:region>(a, f) & <dbo:state>(b, f)",0.004241346
"<dbo:municipality>(a, b) <= <dbo:lowestPlace>(a, f) & <dbo:lowestPlace>(b, f)",0.004249469
"<dbo:municipality>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestPlace>(b, f)",0.004249469
"<dbo:municipality>(a, b) <= <dbo:lowestMountain>(b, f) & <dbo:lowestPlace>(a, f)",0.004249469
"<dbo:municipality>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestMountain>(b, f)",0.004249469
"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:state>(a, f)",0.004252373
"<dbo:highestRegion>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.004253927
"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.004253927
"<dbo:highestPlace>(a, b) <= <dbo:highestMountain>(a, f) & <dbo:locatedInArea>(b, f)",0.004255319
"<dbo:highestPlace>(a, b) <= <dbo:highestPlace>(a, f) & <dbo:locatedInArea>(b, f)",0.004255319
"<dbo:municipality>(a, b) <= <dbo:region>(a, f) & <dbo:state>(b, f)",0.004255528
"<dbo:governmentRegion>(a, b) <= <dbo:region>(a, f) & <dbo:timeZone>(b, f)",0.004257378
"<dbo:associate>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:region>(a, f)",0.004260499
"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:region>(a, f)",0.004284323
"<dbo:highestMountain>(a, b) <= <dbo:locatedInArea>(b, f) & <dbo:region>(a, f)",0.004322767
"<dbo:hubAirport>(a, b) <= <dbo:city>(b, f) & <dbo:targetAirport>(a, f)",0.004343695
"<dbo:secondCommander>(a, b) <= <dbo:militaryBranch>(e, a) & <dbo:notableCommander>(e, b)",0.004379562
"<dbo:primeMinister>(a, b) <= <dbo:otherParty>(b, f) & <dbo:party>(a, f)",0.004457348
"<dbo:showJudge>(a, b) <= <dbo:showJudge>(e, a) & <dbo:showJudge>(e, b)",0.004466887
"<dbo:politicalPartyInLegislature>(a, b) <= <dbo:leaderParty>(f, b) & <dbo:location>(a, f)",0.004481501
"<dbo:incumbent>(a, b) <= <dbo:residence>(a, f) & <dbo:residence>(b, f)",0.004482478
"<dbo:highestRegion>(a, b) <= <dbo:region>(b, f) & <dbo:state>(a, f)",0.004509941
"<dbo:primeMinister>(a, b) <= <dbo:monarch>(a, f) & <dbo:monarch>(b, f)",0.004546151
"<dbo:highestRegion>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.004592341
"<dbo:associate>(a, b) <= <dbo:monarch>(a, f) & <dbo:monarch>(b, f)",0.004657582
"<dbo:highestMountain>(a, b) <= <dbo:state>(a, b)",0.004658385
"<dbo:editing>(a, b) <= <dbo:starring>(a, b)",0.004670528
"<dbo:variantOf>(a, b) <= <dbo:automobilePlatform>(a, f) & <dbo:automobilePlatform>(b, f)",0.004671442
"<dbo:currentPartner>(a, b) <= <dbo:residence>(a, f) & <dbo:residence>(b, f)",0.004688362
"<dbo:highestMountain>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.004716981
"<dbo:highestMountain>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.004716981
"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.004746835
"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.004746835
"<dbo:capital>(a, b) <= <dbo:isPartOf>(b, a)",0.004750078
"<dbo:isPartOfWineRegion>(a, b) <= <dbo:type>(a, f) & <dbo:type>(b, f)",0.004773882
"<dbo:municipality>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.00481202
"<dbo:municipality>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.00481202
"<dbo:saint>(a, b) <= <dbo:birthPlace>(b, a)",0.004813818
"<dbo:formerCoach>(a, b) <= <dbo:formerChoreographer>(a, f) & <dbo:formerCoach>(b, f)",0.004821389
"<dbo:viceChancellor>(a, b) <= <dbo:chancellor>(a, f) & <dbo:chancellor>(b, f)",0.004846527
"<dbo:secretaryGeneral>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:headquarter>(a, f)",0.004854369
"<dbo:municipality>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.004894549
"<dbo:isPartOfMilitaryConflict>(a, b) <= <dbo:place>(a, f) & <dbo:place>(b, f)",0.004918678
"<dbo:highestPlace>(a, b) <= <dbo:locatedInArea>(b, f) & <dbo:state>(a, f)",0.004939396
"<dbo:highestRegion>(a, b) <= <dbo:region>(a, f) & <dbo:timeZone>(b, f)",0.004941599
"<dbo:majorShrine>(a, b) <= <dbo:deathPlace>(a, b)",0.004945487
"<dbo:governmentRegion>(a, b) <= <dbo:city>(f, a) & <dbo:state>(b, f)",0.004950495
"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:region>(a, f)",0.004972875
"<dbo:highestMountain>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.004975124
"<dbo:nationalAffiliation>(a, b) <= <dbo:europeanAffiliation>(a, f) & <dbo:europeanAffiliation>(b, f)",0.004985755
"<dbo:highestRegion>(a, b) <= <dbo:state>(a, f) & <dbo:timeZone>(b, f)",0.004999194
"<dbo:secretaryGeneral>(a, b) <= <dbo:country>(a, f) & <dbo:headquarter>(b, f)",0.005
"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:timeZone>(a, f)",0.005020673
"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:state>(a, f)",0.005030834
"<dbo:splitFromParty>(a, b) <= <dbo:internationalAffiliation>(a, f) & <dbo:internationalAffiliation>(b, f)",0.005039597
"<dbo:lowestPlace>(a, b) <= <dbo:district>(a, f) & <dbo:location>(b, f)",0.005063291
"<dbo:municipality>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.005089152
"<dbo:municipality>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.005089152
"<dbo:river>(a, b) <= <dbo:origin>(b, f) & <dbo:state>(a, f)",0.005104935
"<dbo:choreographer>(a, b) <= <dbo:coach>(a, f) & <dbo:formerCoach>(b, f)",0.005119454
"<dbo:secondCommander>(a, b) <= <dbo:country>(a, f) & <dbo:leaderName>(f, b)",0.005119454
"<dbo:coach>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.005159705
"<dbo:alliance>(a, b) <= <dbo:hubAirport>(a, f) & <dbo:targetAirport>(b, f)",0.005163511
"<dbo:notableIdea>(a, b) <= <dbo:influenced>(f, b) & <dbo:influencedBy>(a, f)",0.005178908
"<dbo:notableWork>(a, b) <= <dbo:notableWork>(e, a) & <dbo:notableWork>(e, b)",0.005197669
"<dbo:governmentRegion>(a, b) <= <dbo:city>(f, a) & <dbo:region>(b, f)",0.005235602
"<dbo:governmentRegion>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestPlace>(b, f)",0.005241701
"<dbo:governmentRegion>(a, b) <= <dbo:lowestMountain>(b, f) & <dbo:lowestPlace>(a, f)",0.005241701
"<dbo:governmentRegion>(a, b) <= <dbo:lowestPlace>(a, f) & <dbo:lowestPlace>(b, f)",0.005241701
"<dbo:governmentRegion>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestMountain>(b, f)",0.005241701
"<dbo:owningCompany>(a, b) <= <dbo:owningCompany>(a, f) & <dbo:parentCompany>(b, f)",0.005267404
"<dbo:musicFusionGenre>(a, b) <= <dbo:stylisticOrigin>(a, b)",0.005319149
"<dbo:vicePresident>(a, b) <= <dbo:otherParty>(a, f) & <dbo:party>(b, f)",0.005324298
"<dbo:formerCoach>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.005575073
"<dbo:era>(a, b) <= <dbo:influencedBy>(a, f) & <dbo:philosophicalSchool>(f, b)",0.00558109
"<dbo:isPartOfWineRegion>(a, b) <= <dbo:location>(a, f) & <dbo:type>(b, f)",0.005636225
"<dbo:notableIdea>(a, b) <= <dbo:mainInterest>(a, f) & <dbo:mainInterest>(b, f)",0.00565971
"<dbo:associate>(a, b) <= <dbo:region>(a, f) & <dbo:residence>(b, f)",0.005681818
"<dbo:followingEvent>(a, b) <= <dbo:followingEvent>(a, f) & <dbo:followingEvent>(b, f)",0.005683775
"<dbo:firstLeader>(a, b) <= <dbo:affiliation>(a, f) & <dbo:otherParty>(b, f)",0.005686988
"<dbo:nationalAffiliation>(a, b) <= <dbo:birthPlace>(e, b) & <dbo:party>(e, a)",0.005691057
"<dbo:governor>(a, b) <= <dbo:region>(b, f) & <dbo:residence>(a, f)",0.005712654
"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:mouthCountry>(b, f)",0.005730051
"<dbo:subsidiary>(a, b) <= <dbo:foundedBy>(b, f) & <dbo:keyPerson>(a, f)",0.005748044
"<dbo:island>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:location>(a, f)",0.005767844
"<dbo:source>(a, b) <= <dbo:district>(a, f) & <dbo:location>(b, f)",0.005770263
"<dbo:politicalPartyInLegislature>(a, b) <= <dbo:headquarter>(b, f) & <dbo:location>(a, f)",0.00579368
"<dbo:gameEngine>(a, b) <= <dbo:series>(a, f) & <dbo:series>(b, f)",0.005842443
"<dbo:education>(a, b) <= <dbo:city>(b, f) & <dbo:education>(a, f)",0.005857741
"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.005899705
"<dbo:authority>(a, b) <= <dbo:affiliation>(a, f) & <dbo:location>(b, f)",0.00591716
"<dbo:deputy>(a, b) <= <dbo:deputy>(f, b) & <dbo:primeMinister>(a, f)",0.005952381
"<dbo:nationalAffiliation>(a, b) <= <dbo:headquarter>(a, f) & <dbo:headquarter>(b, f)",0.005982756
"<dbo:commandStructure>(a, b) <= <dbo:commandStructure>(a, f) & <dbo:commandStructure>(b, f)",0.005994584
"<dbo:gameEngine>(a, b) <= <dbo:developer>(a, f) & <dbo:developer>(b, f)",0.006001956
"<dbo:musicComposer>(a, b) <= <dbo:starring>(a, b)",0.00610143
"<dbo:coach>(a, b) <= <dbo:coach>(a, f) & <dbo:formerCoach>(b, f)",0.006112853
"<dbo:alumni>(a, b) <= <dbo:city>(a, f) & <dbo:residence>(b, f)",0.006116208
"<dbo:municipality>(a, b) <= <dbo:state>(a, f) & <dbo:timeZone>(b, f)",0.006143838
"<dbo:municipality>(a, b) <= <dbo:region>(a, f) & <dbo:timeZone>(b, f)",0.006144726
"<dbo:highestRegion>(a, b) <= <dbo:lowestPlace>(a, f) & <dbo:lowestPlace>(b, f)",0.006151377
"<dbo:highestRegion>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestPlace>(b, f)",0.006151377
"<dbo:highestRegion>(a, b) <= <dbo:lowestMountain>(b, f) & <dbo:lowestPlace>(a, f)",0.006151377
"<dbo:highestRegion>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestMountain>(b, f)",0.006151377
"<dbo:notableIdea>(a, b) <= <dbo:notableIdea>(e, a) & <dbo:notableIdea>(e, b)",0.006157291
"<dbo:followingEvent>(a, b) <= <dbo:promotion>(a, f) & <dbo:promotion>(b, f)",0.006157328
"<dbo:municipality>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:state>(a, f)",0.006183617
"<dbo:municipality>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:region>(a, f)",0.006183617
"<dbo:highestMountain>(a, b) <= <dbo:region>(b, f) & <dbo:state>(a, f)",0.006188119
"<dbo:deputy>(a, b) <= <dbo:president>(a, f) & <dbo:president>(b, f)",0.006198181
"<dbo:governmentRegion>(a, b) <= <dbo:city>(f, a) & <dbo:timeZone>(b, f)",0.006289308
"<dbo:authority>(a, b) <= <dbo:country>(a, f) & <dbo:timeZone>(b, f)",0.006321113
"<dbo:governmentRegion>(a, b) <= <dbo:city>(f, a) & <dbo:daylightSavingTimeZone>(b, f)",0.006329114
"<dbo:mayor>(a, b) <= <dbo:almaMater>(b, f) & <dbo:city>(f, a)",0.006329114
"<dbo:municipality>(a, b) <= <dbo:municipality>(a, f) & <dbo:municipality>(b, f)",0.006448839
"<dbo:municipality>(a, b) <= <dbo:canton>(a, f) & <dbo:canton>(b, f)",0.006481037
"<dbo:source>(a, b) <= <dbo:city>(b, f) & <dbo:sourceMountain>(a, f)",0.006488011
"<dbo:source>(a, b) <= <dbo:city>(b, f) & <dbo:sourcePlace>(a, f)",0.006488011
"<dbo:outflow>(a, b) <= <dbo:district>(b, f) & <dbo:location>(a, f)",0.006492863
"<dbo:gameEngine>(a, b) <= <dbo:product>(f, b) & <dbo:publisher>(a, f)",0.006550014
"<dbo:affiliation>(a, b) <= <dbo:city>(b, f) & <dbo:region>(a, f)",0.006579284
"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:state>(a, f)",0.00660066
"<dbo:highestMountain>(a, b) <= <dbo:state>(a, f) & <dbo:timeZone>(b, f)",0.00660066
"<dbo:gameEngine>(a, b) <= <dbo:computingPlatform>(a, b)",0.006653226
"<dbo:foundingPerson>(a, b) <= <dbo:deathPlace>(f, a) & <dbo:successor>(b, f)",0.006666667
"<dbo:deputy>(a, b) <= <dbo:deputy>(e, a) & <dbo:deputy>(e, b)",0.006679764
"<dbo:secretaryGeneral>(a, b) <= <dbo:internationalAffiliation>(a, f) & <dbo:internationalAffiliation>(b, f)",0.006711409
"<dbo:followingEvent>(a, b) <= <dbo:followingEvent>(b, f) & <dbo:previousEvent>(a, f)",0.006713984
"<dbo:notableIdea>(a, b) <= <dbo:influencedBy>(e, a) & <dbo:notableIdea>(e, b)",0.006715635
"<dbo:variantOf>(a, b) <= <dbo:manufacturer>(a, f) & <dbo:manufacturer>(b, f)",0.006717954
"<dbo:highestMountain>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:region>(a, f)",0.006790123
"<dbo:vicePresident>(a, b) <= <dbo:president>(a, f) & <dbo:successor>(f, b)",0.006845408
"<dbo:derivative>(a, b) <= <dbo:musicFusionGenre>(e, a) & <dbo:musicSubgenre>(e, b)",0.006888634
"<dbo:vicePresident>(a, b) <= <dbo:president>(a, f) & <dbo:vicePresident>(f, b)",0.006899436
"<dbo:variantOf>(a, b) <= <dbo:relatedMeanOfTransportation>(a, f) & <dbo:relatedMeanOfTransportation>(b, f)",0.00691969
"<dbo:hubAirport>(a, b) <= <dbo:headquarter>(a, f) & <dbo:owner>(b, f)",0.006921676
"<dbo:musicSubgenre>(a, b) <= <dbo:stylisticOrigin>(a, b)",0.006944444
"<dbo:notableIdea>(a, b) <= <dbo:influenced>(a, f) & <dbo:notableIdea>(f, b)",0.006974427
"<dbo:philosophicalSchool>(a, b) <= <dbo:influenced>(a, b)",0.00698385
"<dbo:owningCompany>(a, b) <= <http://xmlns.com/foaf/0.1/homepage>(a, f) & <http://xmlns.com/foaf/0.1/homepage>(b, f)",0.007091793
"<dbo:formerChoreographer>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.007105819
"<dbo:notableIdea>(a, b) <= <dbo:influenced>(e, a) & <dbo:philosophicalSchool>(e, b)",0.007123288
"<dbo:lowestPlace>(a, b) <= <dbo:canton>(a, f) & <dbo:location>(b, f)",0.007142857
"<dbo:derivative>(a, b) <= <dbo:derivative>(e, a) & <dbo:stylisticOrigin>(e, b)",0.007194245
"<dbo:highestPlace>(a, b) <= <dbo:locatedInArea>(e, b) & <dbo:mountainRange>(e, a)",0.007211538
"<dbo:highestRegion>(a, b) <= <dbo:highestState>(a, f) & <dbo:region>(b, f)",0.007246377
"<dbo:gameEngine>(a, b) <= <dbo:developer>(b, f) & <dbo:gameEngine>(a, f)",0.007321131
"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, b)",0.007326873
"<dbo:associate>(a, b) <= <dbo:president>(a, f) & <dbo:president>(b, f)",0.007382942
"<dbo:launchPad>(a, b) <= <dbo:launchPad>(a, f) & <dbo:launchSite>(b, f)",0.007419774
"<dbo:philosophicalSchool>(a, b) <= <dbo:influenced>(a, e) & <dbo:notableIdea>(e, b)",0.007426824
"<dbo:child>(a, b) <= <dbo:child>(e, a) & <dbo:child>(e, b)",0.007500636
"<dbo:island>(a, b) <= <dbo:island>(e, a) & <dbo:island>(e, b)",0.007507508
"<dbo:followingEvent>(a, b) <= <dbo:brand>(a, f) & <dbo:brand>(b, f)",0.007546745
"<dbo:musicSubgenre>(a, b) <= <dbo:musicSubgenre>(e, b) & <dbo:stylisticOrigin>(a, e)",0.007554561
"<dbo:administrativeDistrict>(a, b) <= <dbo:city>(b, f) & <dbo:federalState>(a, f)",0.007566824
"<dbo:source>(a, b) <= <dbo:sourceMountain>(a, f) & <dbo:sourceMountain>(b, f)",0.007642339
"<dbo:source>(a, b) <= <dbo:sourceMountain>(b, f) & <dbo:sourcePlace>(a, f)",0.007642339
"<dbo:source>(a, b) <= <dbo:sourceMountain>(a, f) & <dbo:sourcePlace>(b, f)",0.007642339
"<dbo:source>(a, b) <= <dbo:sourcePlace>(a, f) & <dbo:sourcePlace>(b, f)",0.007642339
"<dbo:highestMountain>(a, b) <= <dbo:highestPlace>(f, b) & <dbo:state>(a, f)",0.007722008
"<dbo:governmentRegion>(a, b) <= <dbo:state>(f, a) & <dbo:state>(b, f)",0.007751938
"<dbo:highestRegion>(a, b) <= <dbo:part>(f, a) & <dbo:state>(b, f)",0.007751938
"<dbo:highestRegion>(a, b) <= <dbo:state>(f, a) & <dbo:state>(b, f)",0.007751938
"<dbo:governmentRegion>(a, b) <= <dbo:state>(b, a)",0.007782101
"<dbo:highestRegion>(a, b) <= <dbo:state>(b, a)",0.007782101
"<dbo:governmentRegion>(a, b) <= <dbo:governmentRegion>(f, a) & <dbo:state>(b, f)",0.007782101
"<dbo:originalLanguage>(a, b) <= <dbo:languageFamily>(f, b) & <dbo:originalLanguage>(a, f)",0.007789679
"<dbo:patron>(a, b) <= <dbo:militaryUnit>(b, a)",0.007874016
"<dbo:administrativeDistrict>(a, b) <= <dbo:city>(a, f) & <dbo:city>(b, f)",0.007882076
"<dbo:administrativeDistrict>(a, b) <= <dbo:birthPlace>(e, a) & <dbo:deathPlace>(e, b)",0.007884972
"<dbo:gameEngine>(a, b) <= <dbo:designer>(a, f) & <dbo:designer>(b, f)",0.007927928
"<dbo:administrativeCollectivity>(a, b) <= <dbo:district>(a, f) & <dbo:district>(b, f)",0.00801131
"<dbo:deputy>(a, b) <= <dbo:leader>(f, b) & <dbo:party>(a, f)",0.008081897
"<dbo:garrison>(a, b) <= <dbo:battle>(a, e) & <dbo:place>(e, b)",0.008091645
"<dbo:administrativeDistrict>(a, b) <= <dbo:birthPlace>(e, b) & <dbo:deathPlace>(e, a)",0.008225108
"<dbo:formerPartner>(a, b) <= <dbo:choreographer>(a, f) & <dbo:formerCoach>(b, f)",0.008237822
"<dbo:influencedBy>(a, b) <= <dbo:movement>(a, f) & <dbo:movement>(b, f)",0.008257387
"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, a)",0.008264463
"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:region>(a, f)",0.008295887
"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, f) & <dbo:state>(f, a)",0.008298755
"<dbo:derivative>(a, b) <= <dbo:musicFusionGenre>(b, f) & <dbo:stylisticOrigin>(a, f)",0.008303677
"<dbo:deputy>(a, b) <= <dbo:primeMinister>(a, f) & <dbo:successor>(b, f)",0.008319468
"<dbo:highestRegion>(a, b) <= <dbo:part>(f, a) & <dbo:region>(b, f)",0.008368201
"<dbo:broadcastNetwork>(a, b) <= <dbo:owningCompany>(a, f) & <dbo:owningCompany>(b, f)",0.008404629
"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, a) & <dbo:state>(b, a)",0.008438819
"<dbo:majorShrine>(a, b) <= <dbo:canonizedPlace>(a, f) & <dbo:country>(b, f)",0.008454106
"<dbo:associatedAct>(a, b) <= <dbo:starring>(b, a)",0.008522727
"<dbo:splitFromParty>(a, b) <= <dbo:europeanAffiliation>(a, f) & <dbo:europeanAffiliation>(b, f)",0.008526188
"<dbo:parentCompany>(a, b) <= <dbo:recordLabel>(e, a) & <dbo:recordLabel>(e, b)",0.008532718
"<dbo:composer>(a, b) <= <dbo:starring>(a, b)",0.008559201
"<dbo:highestMountain>(a, b) <= <dbo:location>(a, f) & <dbo:state>(f, b)",0.008574491
"<dbo:basedOn>(a, b) <= <dbo:author>(a, b)",0.008583691
"<dbo:currentPartner>(a, b) <= <dbo:coach>(a, f) & <dbo:formerChoreographer>(b, f)",0.008587786
"<dbo:lastAppearance>(a, b) <= <dbo:series>(a, f) & <dbo:series>(b, f)",0.00870202
"<dbo:governmentRegion>(a, b) <= <dbo:district>(b, f) & <dbo:state>(f, a)",0.00877193
"<dbo:countySeat>(a, b) <= <dbo:birthPlace>(e, a) & <dbo:deathPlace>(e, b)",0.008811682
"<dbo:era>(a, b) <= <dbo:influencedBy>(e, a) & <dbo:philosophicalSchool>(e, b)",0.008833922
"<dbo:outflow>(a, b) <= <dbo:city>(a, f) & <dbo:city>(b, f)",0.00883729
"<dbo:alumni>(a, b) <= <dbo:alumni>(e, a) & <dbo:alumni>(e, b)",0.008849558
"<dbo:influencedBy>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.008852017
"<dbo:presenter>(a, b) <= <dbo:starring>(a, b)",0.008956386
"<dbo:nationalAffiliation>(a, b) <= <dbo:europeanParliamentGroup>(a, f) & <dbo:europeanParliamentGroup>(b, f)",0.009071877
"<dbo:automobilePlatform>(a, b) <= <dbo:relatedMeanOfTransportation>(a, b)",0.009079903
"<dbo:lastAppearance>(a, b) <= <dbo:portrayer>(a, f) & <dbo:starring>(b, f)",0.00915455
"<dbo:primeMinister>(a, b) <= <dbo:primeMinister>(a, f) & <dbo:primeMinister>(b, f)",0.0091811
"<dbo:lieutenancyArea>(a, b) <= <dbo:birthPlace>(e, a) & <dbo:deathPlace>(e, b)",0.009204115
